"Other effects of air pressure and water pressure, sequela",T708
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V059
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V059
"Pedestrian on roller-skates injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela",V059
"Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V059
"Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V059
"Pedestrian on skateboard injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela",V059
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V059
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V059
"Pedestrian with other conveyance injured in collision with railway train or railway vehicle, unspecified whether traffic or nontraffic accident, sequela",V059
"Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V060
"Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V060
"Pedestrian on foot injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V060
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V060
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V060
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V060
"Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V060
"Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V060
"Pedestrian on skateboard injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V060
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V060
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V060
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V060
"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V061
"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V061
"Pedestrian on foot injured in collision with other nonmotor vehicle in traffic accident, sequela",V061
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V061
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V061
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle in traffic accident, sequela",V061
"Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V061
"Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V061
"Pedestrian on skateboard injured in collision with other nonmotor vehicle in traffic accident, sequela",V061
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V061
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V061
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle in traffic accident, sequela",V061
"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V069
"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V069
"Pedestrian on foot injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",V069
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V069
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V069
"Pedestrian on roller-skates injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",V069
"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V069
"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V069
"Pedestrian on skateboard injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",V069
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, initial encounter",V069
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, subsequent encounter",V069
"Pedestrian with other conveyance injured in collision with other nonmotor vehicle, unspecified whether traffic or nontraffic accident, sequela",V069
"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, initial encounter",V090
"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, subsequent encounter",V090
"Pedestrian injured in nontraffic accident involving unspecified motor vehicles, sequela",V090
"Pedestrian injured in nontraffic accident involving military vehicle, initial encounter",V090
"Pedestrian injured in nontraffic accident involving military vehicle, subsequent encounter",V090
"Pedestrian injured in nontraffic accident involving military vehicle, sequela",V090
"Pedestrian injured in nontraffic accident involving other motor vehicles, initial encounter",V090
"Pedestrian injured in nontraffic accident involving other motor vehicles, subsequent encounter",V090
