Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Unspecified traumatic displaced spondylolisthesis of third cervical vertebra, sequela",S122
"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122
"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122
"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Unspecified traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela",S122
"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122
"Type III traumatic spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122
"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Type III traumatic spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Type III traumatic spondylolisthesis of third cervical vertebra, sequela",S122
"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122
"Other traumatic displaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122
"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Other traumatic displaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Other traumatic displaced spondylolisthesis of third cervical vertebra, sequela",S122
"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for closed fracture",S122
"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, initial encounter for open fracture",S122
"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Other traumatic nondisplaced spondylolisthesis of third cervical vertebra, sequela",S122
"Other displaced fracture of third cervical vertebra, initial encounter for closed fracture",S122
"Other displaced fracture of third cervical vertebra, initial encounter for open fracture",S122
"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Other displaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Other displaced fracture of third cervical vertebra, sequela",S122
"Other nondisplaced fracture of third cervical vertebra, initial encounter for closed fracture",S122
"Other nondisplaced fracture of third cervical vertebra, initial encounter for open fracture",S122
"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with routine healing",S122
"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with delayed healing",S122
"Other nondisplaced fracture of third cervical vertebra, subsequent encounter for fracture with nonunion",S122
"Other nondisplaced fracture of third cervical vertebra, sequela",S122
"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S123
"Unspecified displaced fracture of fourth cervical vertebra, initial encounter for open fracture",S123
"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123
"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123
"Unspecified displaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123
"Unspecified displaced fracture of fourth cervical vertebra, sequela",S123
"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for closed fracture",S123
"Unspecified nondisplaced fracture of fourth cervical vertebra, initial encounter for open fracture",S123
"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123
"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123
"Unspecified nondisplaced fracture of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123
"Unspecified nondisplaced fracture of fourth cervical vertebra, sequela",S123
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123
"Unspecified traumatic displaced spondylolisthesis of fourth cervical vertebra, sequela",S123
"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123
"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, initial encounter for open fracture",S123
"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with routine healing",S123
"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with delayed healing",S123
"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, subsequent encounter for fracture with nonunion",S123
"Unspecified traumatic nondisplaced spondylolisthesis of fourth cervical vertebra, sequela",S123
"Type III traumatic spondylolisthesis of fourth cervical vertebra, initial encounter for closed fracture",S123
